"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Aug 12 01:10:22 BST 2020","Wed Aug 12 01:10:22 BST 2020","0","","I could edit my language.: As a user, I can edit my spoken language","","I could edit my language.: As a user, I can edit my spoken language","When I click on select language text box","When I click on select language text box",""
"passed","Tue Aug 11 18:37:10 BST 2020","Tue Aug 11 18:37:10 BST 2020","0","","The Internet Guinea Pig Website: As a user, I can edit my spoken language","","The Internet Guinea Pig Website: As a user, I can edit my spoken language","Hook","Hook",""
"passed","Wed Aug 12 01:39:04 BST 2020","Wed Aug 12 01:39:06 BST 2020","2083","","testing the Zoho site modules: As a user, I can vrify my log in email","","testing the Zoho site modules: As a user, I can vrify my log in email","Given I am on the zoho web  page","Given I am on the zoho web  page",""
"passed","Wed Aug 12 01:39:08 BST 2020","Wed Aug 12 01:39:19 BST 2020","11222","","testing the Zoho site modules: As a user, I can vrify my log in email","","testing the Zoho site modules: As a user, I can vrify my log in email","Then I should be able to confirm user ID message as mr.raymich50@gmail.com","Then I should be able to confirm user ID message as mr.raymich50@gmail.com",""
"skipped","Tue Aug 11 18:37:10 BST 2020","Tue Aug 11 18:37:10 BST 2020","0","","The Internet Guinea Pig Website: As a user, I can edit my spoken language","","The Internet Guinea Pig Website: As a user, I can edit my spoken language","When I click edit button","When I click edit button",""
"skipped","Wed Aug 12 01:10:22 BST 2020","Wed Aug 12 01:10:22 BST 2020","0","","I could edit my language.: As a user, I can edit my spoken language","","I could edit my language.: As a user, I can edit my spoken language","When I save my profile","When I save my profile",""
"passed","Wed Aug 12 01:10:22 BST 2020","Wed Aug 12 01:10:22 BST 2020","1","","I could edit my language.: As a user, I can edit my spoken language","","I could edit my language.: As a user, I can edit my spoken language","Hook","Hook",""
"skipped","Wed Aug 12 01:10:22 BST 2020","Wed Aug 12 01:10:22 BST 2020","0","","I could edit my language.: As a user, I can edit my spoken language","","I could edit my language.: As a user, I can edit my spoken language","Then I could verify that Deutsch was successfuly Edited","Then I could verify that Deutsch was successfuly Edited",""
"passed","Tue Aug 11 18:36:45 BST 2020","Tue Aug 11 18:36:57 BST 2020","11409","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Given I am on the login page","Given I am on the login page",""
"skipped","Tue Aug 11 18:36:58 BST 2020","Tue Aug 11 18:36:58 BST 2020","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message","Then I should see a flash message",""
"skipped","Tue Aug 11 18:37:10 BST 2020","Tue Aug 11 18:37:10 BST 2020","0","","The Internet Guinea Pig Website: As a user, I can edit my spoken language","","The Internet Guinea Pig Website: As a user, I can edit my spoken language","When I save my profile","When I save my profile",""
"skipped","Wed Aug 12 01:10:22 BST 2020","Wed Aug 12 01:10:22 BST 2020","0","","I could edit my language.: As a user, I can edit my spoken language","","I could edit my language.: As a user, I can edit my spoken language","When I type in my language as ch","When I type in my language as ch",""
"skipped","Wed Aug 12 01:10:22 BST 2020","Wed Aug 12 01:10:22 BST 2020","0","","I could edit my language.: As a user, I can edit my spoken language","","I could edit my language.: As a user, I can edit my spoken language","When I selected my spoken language as Deutsch","When I selected my spoken language as Deutsch",""
"passed","Wed Aug 12 01:10:10 BST 2020","Wed Aug 12 01:10:21 BST 2020","11202","","I could edit my language.: As a user, I can edit my spoken language","","I could edit my language.: As a user, I can edit my spoken language","Given I am on the login page","Given I am on the login page",""
"skipped","Tue Aug 11 18:37:10 BST 2020","Tue Aug 11 18:37:10 BST 2020","0","","The Internet Guinea Pig Website: As a user, I can edit my spoken language","","The Internet Guinea Pig Website: As a user, I can edit my spoken language","When I type in my language as <editedLanguage>","When I type in my language as <editedLanguage>",""
"skipped","Wed Aug 12 01:36:51 BST 2020","Wed Aug 12 01:36:51 BST 2020","1","","testing the Zoho site modules: As a user, I can vrify my log in email","","testing the Zoho site modules: As a user, I can vrify my log in email","Then I should be able to confirm user ID message as bfatogun@yahoo.com","Then I should be able to confirm user ID message as bfatogun@yahoo.com",""
"skipped","Tue Aug 11 18:37:10 BST 2020","Tue Aug 11 18:37:10 BST 2020","0","","The Internet Guinea Pig Website: As a user, I can edit my spoken language","","The Internet Guinea Pig Website: As a user, I can edit my spoken language","When I selected my spoken language as <selectedLangText>","When I selected my spoken language as <selectedLangText>",""
"broken","Tue Aug 11 18:36:57 BST 2020","Tue Aug 11 18:36:58 BST 2020","1148","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I click submit button with my user email as username and user password as password","When I click submit button with my user email as username and user password as password",""
"skipped","Wed Aug 12 01:10:22 BST 2020","Wed Aug 12 01:10:22 BST 2020","2","","I could edit my language.: As a user, I can edit my spoken language","","I could edit my language.: As a user, I can edit my spoken language","When I click edit button","When I click edit button",""
"passed","Wed Aug 12 01:39:19 BST 2020","Wed Aug 12 01:39:19 BST 2020","1","","testing the Zoho site modules: As a user, I can vrify my log in email","","testing the Zoho site modules: As a user, I can vrify my log in email","Hook","Hook",""
